job,corp,city,district,corp_scale,corp_type,edu,exp,salary,keyword
通信硬件工程师,浙江亿邦通信科技股份有限公司,武汉,江夏,300-499人,股份制企业,本科,5-10年,2万-4万,网络工程师
硬件工程师,深圳市新凯来技术有限公司,武汉,江夏,1000-9999人,民营,本科,1-3年,1.8万-3.5万,网络工程师
功能安全工程师（电子硬件）,智联猎头,武汉,蔡甸,1000-9999人,其它,本科,1-3年,1.5万-3万,网络工程师
硬件开发（控制方向）,湖北航天飞行器研究所,武汉,东西湖,100-299人,事业单位,硕士,经验不限,1.6万-2.5万,网络工程师
网络工程师,江苏邦能振键机械有限公司,武汉,汉阳,100-299人,民营,大专,经验不限,6千-1.1万,网络工程师
电力电子硬件工程师,北京群菱能源科技有限公司,武汉,江夏,100-299人,民营,本科,3-5年,1.2万-2.4万,网络工程师
硬件工程师,武汉海亿新能源科技有限公司,武汉,江夏,20-99人,其它,本科,3-5年,1万-1.6万,网络工程师
网络安全运维工程师,武汉中和博瑞电气有限公司,武汉,洪山,100-299人,民营,本科,经验不限,1万-1.6万,网络工程师
售前工程师,广州犹新记忆科技有限公司,武汉,江夏,20-99人,民营,本科,经验不限,5千-8千,网络工程师
运维工程师（会议保障）,武汉市德发电子信息有限责任公司,武汉,江汉,300-499人,民营,大专,1-3年,4千-7千,网络工程师
通信硬件工程师,浙江亿邦通信科技股份有限公司,武汉,江夏,300-499人,股份制企业,本科,5-10年,2万-4万,网络工程师
硬件工程师,深圳市新凯来技术有限公司,武汉,江夏,1000-9999人,民营,本科,1-3年,1.8万-3.5万,网络工程师
功能安全工程师（电子硬件）,智联猎头,武汉,蔡甸,1000-9999人,其它,本科,1-3年,1.5万-3万,网络工程师
硬件开发（控制方向）,湖北航天飞行器研究所,武汉,东西湖,100-299人,事业单位,硕士,经验不限,1.6万-2.5万,网络工程师
网络工程师,江苏邦能振键机械有限公司,武汉,汉阳,100-299人,民营,大专,经验不限,6千-1.1万,网络工程师
电力电子硬件工程师,北京群菱能源科技有限公司,武汉,江夏,100-299人,民营,本科,3-5年,1.2万-2.4万,网络工程师
硬件工程师,武汉海亿新能源科技有限公司,武汉,江夏,20-99人,其它,本科,3-5年,1万-1.6万,网络工程师
网络安全运维工程师,武汉中和博瑞电气有限公司,武汉,洪山,100-299人,民营,本科,经验不限,1万-1.6万,网络工程师
售前工程师,广州犹新记忆科技有限公司,武汉,江夏,20-99人,民营,本科,经验不限,5千-8千,网络工程师
运维工程师（会议保障）,武汉市德发电子信息有限责任公司,武汉,江汉,300-499人,民营,大专,1-3年,4千-7千,网络工程师
